id listku(veskera vyuka pro celou paralelku - vice hodin za tyden);id podlistku(konkretni vyuka v nejaky den a hodinu);kod predmetu;nazev;den(1=po);cas(min od 0:00);mistnost;delka(min);prvni tyden vyuky;prvni den vyuky pro jednorazovou;pocet tydnu vyuky;ctrnactideni vyuka;ucitele
20bNPGR026p1;20bNPGR026p1;NPGR026;Predictive Image Synthesis Technologies;2;840;S1;90;1;;14;;Wilkie Alexander, doc., Dr.
20bNPGR026x01;20bNPGR026x01;NPGR026;Predictive Image Synthesis Technologies;2;940;S1;90;1;;14;;Wilkie Alexander, doc., Dr.
20bNPRG005p1;20bNPRG005p1;NPRG005;Neprocedurální programování;2;540;S3;90;1;;14;;Dvoøák Tomá, doc. RNDr., CSc., Hric Jan, RNDr.
20bNPRG005p2;20bNPRG005p2;NPRG005;Neprocedurální programování;2;640;S4;90;1;;14;;Dingle Adam, M.Sc.
20bNPRG005x06;20bNPRG005x06;NPRG005;Neprocedurální programování;2;640;SU2;90;1;;14;;efl Vít, Mgr.
20bNPRG005x07;20bNPRG005x07;NPRG005;Neprocedurální programování;2;840;S4;90;1;;14;;Dingle Adam, M.Sc.
20bNPRG051p1;20bNPRG051p1;NPRG051;Pokroèilé programování v C++;2;840;S5;90;1;;14;;Yaghob Jakub, RNDr., Ph.D., Bednárek David, RNDr., Ph.D., Zavoral Filip, RNDr., Ph.D.
20bNPRG051x01;20bNPRG051x01;NPRG051;Pokroèilé programování v C++;2;940;S5;90;1;;14;;Bednárek David, RNDr., Ph.D., Zavoral Filip, RNDr., Ph.D.
20bNPRG051x02;20bNPRG051x02;NPRG051;Pokroèilé programování v C++;2;940;S5;90;1;;14;;Husák Robert, Mgr. Ing.
20bNPRG051x03;20bNPRG051x03;NPRG051;Pokroèilé programování v C++;2;940;S5;90;1;;14;;Faltín Tomá, Mgr.
20bNPRG064x01;20bNPRG064x01;NPRG064;Programování uivatelských rozhraní v .NET;2;740;S5;90;1;;14;;Jeek Pavel, Mgr., Ph.D.
20bNSWI041x03;20bNSWI041x03;NSWI041;Úvod do softwarového inenýrství;2;640;S11;90;1;;14;;koda Petr, Mgr., Ph.D.
20bNSWI071p1;20bNSWI071p1;NSWI071;Ochrana informací 2;2;1040;S3;90;1;;14;;Bene Antonín, RNDr., Ph.D.
20bNSWI122x01;20bNSWI122x01;NSWI122;Pøíprava disertaèní práce;2;840;S9;90;1;;14;;Skopal Tomá, prof. RNDr., Ph.D., Neèaský Martin, doc. Mgr., Ph.D., Kruli Martin, doc. RNDr., Ph.D., Holubová Irena, doc. RNDr., Ph.D., Yaghob Jakub, RNDr., Ph.D., Bednárek David, RNDr., Ph.D., Pokorný Jaroslav, prof. RNDr., CSc., Vojtá Peter, prof. RNDr., DrSc., Kopecký Michal, RNDr., Ph.D., Hoksza David, doc. RNDr., Ph.D., Zavoral Filip, RNDr., Ph.D., Lokoè Jakub, doc. RNDr., Ph.D., Klímek Jakub, RNDr., Ph.D., Peka Ladislav, Mgr., Ph.D., koda Petr, Mgr., Ph.D.
20bNSWI143p1;20bNSWI143p1;NSWI143;Architektura poèítaèù;2;740;S3;90;1;;14;;Bulej Lubomír, doc. Ing., Ph.D.
20bNSWI152x01;20bNSWI152x01;NSWI152;Vývoj cloudových aplikací;2;940;SW1;90;1;;14;;Zavoral Filip, RNDr., Ph.D.
20bNSWI158x01;20bNSWI158x01;NSWI158;Semináø z poèítaèových her;2;840;S8;180;1;;14;liche;Gemrot Jakub, Mgr., Ph.D.
20bNSWI176x01;20bNSWI176x01;NSWI176;Dynamický pøeklad prakticky;2;540;S11;90;1;;14;;Bulej Lubomír, doc. Ing., Ph.D., Tulach Jaroslav, Mgr.
20bNTIN063p1;20bNTIN063p1;NTIN063;Sloitost;2;540;S7;90;1;;14;;Èepek Ondøej, doc. RNDr., Ph.D.
20bNTIN063x01;20bNTIN063x01;NTIN063;Sloitost;2;640;S7;90;1;;14;liche;Èepek Ondøej, doc. RNDr., Ph.D.
20bNTIN064p2;20bNTIN064p2;NTIN064;Vyèíslitelnost;2;840;S7;90;1;;14;;Kuèera Antonín, doc. RNDr., CSc.
20bNTIN071p1;20bNTIN071p1;NTIN071;Automaty a gramatiky;2;640;S3;90;1;;14;;Vomlelová Marta, Mgr., Ph.D.
20bNTIN102x01;20bNTIN102x01;NTIN102;Semináø z teoretické informatiky;2;720;S1;120;1;;14;;Koucký Michal, prof. Mgr., Ph.D., Sgall Jiøí, prof. RNDr., DrSc., Èepek Ondøej, doc. RNDr., Ph.D., Kolman Petr, doc. Mgr., Ph.D., Feldmann Andreas Emil, Dr., Hubáèek Pavel, Mgr., Ph.D.
;R110708617;;Matfyzák: Taneèní veèery;2;1140;S1;180;1;;14;; 
